Country/Region-wise,2017-18 - Export,2017-18 - Import,2017-18 - Trade,2018-19 - Export,2018-19 - Import,2018-19 - Trade,2019-20 - Export,2019-20 - Import,2019-20 - Trade
Japan,4.7,11,15.7,4.9,12.8,17.6,4.5,12.4,17
South Korea,4.5,16.4,20.8,4.7,16.8,21.5,4.8,15.7,20.5
Singapore,10.2,7.5,17.7,11.6,16.3,27.9,8.9,14.7,23.7
Malaysia,5.7,9,14.7,6.4,10.8,17.3,6.4,9.8,16.1
Thailand,3.7,7.1,10.8,4.4,7.4,11.9,4.3,6.8,11.1
Nepal,6.6,0.4,7.1,7.8,0.5,8.3,7.2,0.7,7.9
Bhutan,0.5,0.4,0.9,0.7,0.4,1,0.7,0.4,1.1
Chile,0.8,2.1,2.9,1,1.2,2.2,0.8,1.2,2
Mercosur,4.1,7.9,12,4.7,6.4,11.1,5,5.5,10.5
SAARC,23.1,3.2,26.3,25.3,4.4,29.7,21.9,3.8,25.8
ASEAN,34.2,47.1,81.3,37.5,59.3,96.8,31.5,55.4,86.9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Data figures are in $ billion,,,,,,
