COMMODITY,COUNTRY,UNIT,QUANTITY,Value (US$ million)
TEA,ARGENTINA,KGS,1621440,2.46
TEA,AUSTRALIA,KGS,3349,0.02
TEA,AUSTRIA,KGS,884,0.00
TEA,BELGIUM,KGS,2,0.00
TEA,BRAZIL,KGS,2,0.00
TEA,CANADA,KGS,56,0.00
TEA,CHINA P RP,KGS,314081,1.76
TEA,CZECH REPUBLIC,KGS,3648,0.04
TEA,DENMARK,KGS,8,0.00
TEA,ECUADOR,KGS,171417,0.41
TEA,FRANCE,KGS,394,0.07
TEA,GERMANY,KGS,83134,0.56
TEA,HONG KONG,KGS,80,0.00
TEA,INDONESIA,KGS,534416,0.82
TEA,IRAN,KGS,101620,0.25
TEA,ITALY,KGS,27,0.00
TEA,JAMAICA,KGS,6,0.00
TEA,JAPAN,KGS,13153,0.25
TEA,JORDAN,KGS,101022,0.23
TEA,KENYA,KGS,3122636,8.21
TEA,KOREA RP,KGS,1440,0.05
TEA,MALAWI,KGS,245360,0.46
TEA,MALAYSIA,KGS,40975,0.04
TEA,MAURITIUS,KGS,153,0.00
TEA,MOZAMBIQUE,KGS,250971,0.37
TEA,MYANMAR,KGS,19800,0.06
TEA,NEPAL,KGS,9827911,19.63
TEA,NETHERLAND,KGS,7780,0.02
TEA,POLAND,KGS,6202,0.02
TEA,QATAR,KGS,2149,0.01
TEA,SAUDI ARAB,KGS,7380,0.02
TEA,SINGAPORE,KGS,19398,0.38
TEA,SOUTH AFRICA,KGS,5400,0.03
TEA,SPAIN,KGS,76,0.00
TEA,SRI LANKA DSR,KGS,3303142,17.38
TEA,SUDAN,KGS,300,0.00
TEA,SWEDEN,KGS,1,0.00
TEA,SWITZERLAND,KGS,48,0.01
TEA,TAIWAN,KGS,74319,0.18
TEA,TANZANIA REP,KGS,313643,0.61
TEA,THAILAND,KGS,804,0.00
TEA,TURKEY,KGS,139026,0.31
TEA,U ARAB EMTS,KGS,285569,1.14
TEA,U K,KGS,158897,0.39
TEA,U S A,KGS,43841,0.53
TEA,UNSPECIFIED,KGS,5308,0.05
TEA,VIETNAM SOC REP,KGS,1057651,1.55
TEA,ZIMBABWE,KGS,46300,0.10
COFFEE,AUSTRALIA,KGS,3,0.00
COFFEE,BELGIUM,KGS,1157485,1.81
COFFEE,BRAZIL,KGS,100268,0.21
COFFEE,CAMEROON,KGS,90610,0.13
COFFEE,CANADA,KGS,2,0.00
COFFEE,CHINA P RP,KGS,121804,0.17
COFFEE,COLOMBIA,KGS,76944,0.24
COFFEE,COTE D' IVOIRE,KGS,7944287,11.06
COFFEE,CZECH REPUBLIC,KGS,560,0.01
COFFEE,DJIBOUTI,KGS,135000,0.29
COFFEE,FINLAND,KGS,20000,0.05
COFFEE,FRANCE,KGS,3,0.00
COFFEE,GERMANY,KGS,303191,1.12
COFFEE,GREECE,KGS,50,0.00
COFFEE,GUINEA,KGS,102300,0.16
COFFEE,HONDURAS,KGS,132825,0.19
COFFEE,INDONESIA,KGS,15840292,22.88
COFFEE,ISRAEL,KGS,1,0.00
COFFEE,ITALY,KGS,59855,0.50
COFFEE,JAPAN,KGS,1,0.00
COFFEE,JORDAN,KGS,36000,0.12
COFFEE,KENYA,KGS,12266702,16.26
COFFEE,KOREA RP,KGS,53582,1.03
COFFEE,LAO PD RP,KGS,155850,0.21
COFFEE,MALAYSIA,KGS,59533,0.21
COFFEE,NETHERLAND,KGS,10065,0.12
COFFEE,PAPUA N GNA,KGS,295000,0.39
COFFEE,PERU,KGS,143520,0.24
COFFEE,PHILIPPINES,KGS,8,0.00
COFFEE,POLAND,KGS,855,0.01
COFFEE,PORTUGAL,KGS,3805,0.02
COFFEE,RUSSIA,KGS,3192,0.02
COFFEE,RWANDA,KGS,500,0.00
COFFEE,SINGAPORE,KGS,38879,0.19
COFFEE,SLOVENIA,KGS,15,0.00
COFFEE,SPAIN,KGS,233481,0.34
COFFEE,SWITZERLAND,KGS,1,0.00
COFFEE,TAIWAN,KGS,61,0.00
COFFEE,TANZANIA REP,KGS,2925935,3.52
COFFEE,THAILAND,KGS,18634,0.05
COFFEE,TURKEY,KGS,15732,0.11
COFFEE,U ARAB EMTS,KGS,124610,0.69
COFFEE,U K,KGS,35545,0.32
COFFEE,U S A,KGS,58431,0.56
COFFEE,UGANDA,KGS,4734004,6.43
COFFEE,UNSPECIFIED,KGS,268900,1.37
COFFEE,VIETNAM SOC REP,KGS,40519324,64.71
COFFEE,YEMEN REPUBLC,KGS,20,0.00
RICE(OTHER THAN BASMOTI),AUSTRALIA,TON,148,0.05
RICE(OTHER THAN BASMOTI),BAHARAIN IS,TON,8,0.01
